Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Lesotho,697,942.3027,942.53575,921.84864,905.88384,921.14357,1100.52888,944.93254,812.8198,794.3346,35.19407461,35.22751076,32.25948924,29.96898709,32.15833142,57.89510473,35.57138307,16.616901,13.96479197
Libya,768.1,935.90989,944.16414,1091.87509,851.21899,852.43422,885.89593,1055.02783,1200.77215,959.98262,21.84740138,22.92203359,42.15272621,10.82137612,10.9795886,15.33601484,37.35553053,56.33018487,24.98146335
Lithuania,5393.1,6377.11334,6388.7864,6379.8465,6341.66851,6357.03818,6395.65381,6456.26889,6420.53207,6463.34095,18.24578332,18.46222766,18.29646215,17.58855779,17.87354546,18.58956463,19.71350225,19.05086258,19.84463388
Luxembourg,6068.7,6660.65235,6688.96508,6667.20436,6657.409,6790.09068,6601.56993,6662.64653,6795.20276,6902.2513,9.754187058,10.22072404,9.862151037,9.700743158,11.88707104,8.780627317,9.787047144,11.97130786,13.73525302
Madagascar,2400.5,2315.24289,2328.10225,2359.41628,2386.00349,2380.55552,2388.89839,2376.85261,2381.41663,2376.78962,-3.551639658,-3.015944595,-1.711465111,-0.603895438,-0.830846907,-0.483299729,-0.985102687,-0.794974797,-0.987726724
Malawi,1265,1365.86736,1386.25592,1473.35475,1403.94538,1323.18855,1674.29968,1645.00258,1429.72741,1331.31817,7.973704348,9.585448221,16.47073123,10.98382451,4.599885375,32.35570593,30.03972964,13.02192964,5.242543083
Mali,5303.4,4057.90018,4447.48533,4475.8152,4125.51894,4075.41063,3939.58192,4335.52597,,,-23.4849308,-16.13898009,-15.60479692,-22.20992307,-23.15475676,-25.7159196,-18.25006656,,
Mauritania,2135.2,2065.20537,2070.22128,2083.41071,2063.7165,2064.99355,2075.40553,2103.30234,,,-3.278129918,-3.043214687,-2.425500656,-3.347859685,-3.2880503,-2.800415418,-1.493895654,,
Mexico,5321.2,5155.38362,5148.28716,5128.42736,5111.02725,5098.21779,5085.99355,5012.67496,5003.63488,4550.33866,-3.116146358,-3.249508382,-3.622728708,-3.949724686,-4.190449711,-4.42017684,-5.79803503,-5.967923025,-14.48660716
Mongolia,1235.1,1201.70345,1168.12889,1088.29586,1122.30235,1165.3534,1213.29569,1227.00728,1245.10243,1225.26449,-2.703955145,-5.422322889,-11.88601247,-9.132673468,-5.647040725,-1.765388228,-0.655227917,0.809847786,-0.79633309
