Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Nigeria,1045.2,953.46059,963.96538,953.38285,951.38613,954.36455,954.91631,973.24196,,,-8.77721106,-7.772160352,-8.784648871,-8.975685993,-8.690724263,-8.637934367,-6.884619212,,
North Macedonia,1646.5,2229.51174,2201.71386,2158.07303,2135.51922,2099.20409,1988.23889,1985.37279,1975.92754,2063.1861,35.40915518,33.72085393,31.07033283,29.70052961,27.4949341,20.75547464,20.58140237,20.00774613,25.30738536
Pakistan,1110.5,791.61987,784.39534,742.55736,713.42448,738.47435,733.7016,718.75386,762.45735,,-28.71500495,-29.36557046,-33.13306078,-35.75646285,-33.5007339,-33.93051778,-35.27655471,-31.34107609,
Panama,359.8,775.5445,786.31423,791.11658,741.51815,697.28227,708.73443,593.6664,564.71653,,115.5487771,118.5420317,119.8767593,106.0917593,93.79718455,96.98010839,64.99899944,56.95289883,
Paraguay,3036.2,2522.37922,2514.05589,2516.02882,2510.36636,2556.21226,2636.04298,2698.83197,2700.82184,2668.34402,-16.92315328,-17.1972897,-17.13230947,-17.31880772,-15.80883143,-13.17953429,-11.11152197,-11.0459838,-12.11567025
Peru,2370.6,1727.55566,1723.22471,1723.40374,1729.32931,1716.77472,1725.34264,1749.62269,1757.71827,1799.90424,-27.12580528,-27.30849954,-27.30094744,-27.05098667,-27.58058213,-27.21915802,-26.19494263,-25.85344343,-24.07389522
Philippines,1399.9,1300.57608,1304.07843,1315.20269,1329.64252,1313.76691,1303.99494,1369.97233,1331.90338,1392.70609,-7.095072505,-6.844886778,-6.050240017,-5.018749911,-6.152803057,-6.850850775,-2.137843417,-4.857248375,-0.513887421
Poland,2070,1948.19668,1927.92867,1891.37866,1910.77614,1979.12919,2060.56798,2108.11744,2035.29523,1931.34888,-5.884218357,-6.863349275,-8.629050242,-7.691973913,-4.389894203,-0.45565314,1.841422222,-1.676558937,-6.698121739
Republic of Korea,1471.2,1587.3564,1586.61389,1533.50772,1663.13434,1738.08888,1727.29175,1707.822,,,7.895350734,7.844881049,4.235163132,13.04610794,18.14089723,17.40699769,16.08360522,,
Republic of Moldova,1260.2,1456.26918,1459.04688,1483.44723,1494.47187,1464.09792,1440.07374,1442.67672,1504.41137,,15.55857642,15.77899381,17.71522219,18.59005475,16.17980638,14.27342803,14.47998096,19.37877877,
Romania,2017.9,2427.30214,2440.96818,2384.02327,2387.93728,2371.79015,2367.22403,2403.53047,2423.89214,2345.81079,20.2885247,20.9657654,18.1437767,18.33774122,17.53754646,17.31126567,19.11048466,20.11953714,16.2501011
Russian Federation,1593,1504.55048,1470.89593,1430.68778,1468.06238,1377.49431,1286.33715,1406.65664,1252.90132,,-5.552386692,-7.66503892,-10.18909102,-7.842913999,-13.5282919,-19.25064972,-11.69763716,-21.34957188,
Rwanda,489.9,687.64802,704.61353,724.59867,763.04746,771.18728,790.11351,820.39552,698.42019,725.04072,40.36497653,43.82803225,47.90746479,55.75575832,57.41728516,61.2805695,67.46183303,42.56382731,47.99769749
Serbia,3174.5,2712.23943,2698.75221,2793.96895,2696.55444,2627.03731,2647.40496,2668.79184,2746.19315,2474.52176,-14.56168121,-14.98654245,-11.98711766,-15.05577445,-17.24563522,-16.60403339,-15.93032478,-13.49210427,-22.05003119
Slovakia,2588.6,2510.44476,2504.69424,2496.38262,2516.8454,2520.49182,2387.00641,2350.25158,2115.04119,1970.50772,-3.019208839,-3.241356718,-3.562442247,-2.771946226,-2.631081666,-7.787745886,-9.20761879,-18.29401259,-23.87747354
